"","Model 1",,"Model 2",
"Dependent Variable","IRR (%)","Multiple","IRR (%)","Multiple"
"Fund Types (benchmark: Buyout)","","","",""
"Distressed & Turnaround","−1.155","−0.111**","−1.068","−0.106**"
"Expansion / Late Stage","−7.723***","−0.389***","−7.763***","−0.392***"
"Growth","−2.688***","−0.073","−2.624***","−0.072"
"Venture","−7.385***","−0.366***","−7.415***","−0.366***"
"Vintage (benchmark: 2003)",,,,
"1990","7.743***","0.751***","7.673***","0.744***"
"1991","12.717***","0.733***","13.007***","0.737***"
"1992","9.115***","0.547***","9.074***","0.545***"
"1993","10.064***","0.685***","10.278***","0.693***"
"1994","6.662***","0.408**","6.746***","0.405**"
"1995","2.385","0.095","2.484","0.092"
"1996","−1.391","−0.060","−1.076","−0.053"
"1997","2.402","−0.015","2.600","−0.015"
"1998","−5.301***","−0.259***","−5.147***","−0.252***"
"1999","−6.887***","−0.225**","−6.609***","−0.216**"
"2000","−3.788**","−0.129","−3.512**","−0.121"
"2001","−0.419","0.076","0.671","0.089"
"2002","−0.898","−0.101","−0.598","−0.087"
"2004","−3.368 ****","−0.096","−3.239*","−0.092"
"2005","−4.999***","−0.185**","−4.689***","−0.176*"
"2006","−6.160***","−0.201**","−6.047***","−0.199**"
"2007","−3.093*","−0.135","−2.947*","−0.134"
"2008","−1.718","−0.151*","−1.570","−0.147*"
"2009","0.280","−0.205**","0.491","−0.198**"
"2010","0.910","−0.228***","1.280","−0.216**"
"2011","1.924","−0.341***","2.119","−0.331***"
"2012","2.331","−0.458***","2.572","−0.450***"
"2013","−2.875","−0.617***","−2.608","−0.606***"
"Region (benchmark: U.S.)",,,,
"Africa","1.354","0.116","1.042","0.114"
"Americas","−3.668*","−0.105","−3.508*","−0.089"
"Asia","0.460","0.025","0.463","0.026"
"Australasia","4.034","−0.026","3.859","−0.034"
"Diversified Multi-Region","−3.882","−0.199*","−3.953","−0.199*"
"Europe","−0.112","−0.062*","−0.216","−0.067*"
"Middle East & Israel","5.089","0.128","4.989","0.120"
"Size Variable",,,,
"LN(Fund Size)","−0.881***","−0.060***","",""
"Size Brackets (benchmark: <$100mn)",,,,
"$100mn_$250mn","","","−2.554***","−0.094*"
"$250mn_$500mn","","","−2.766***","−0.156***"
"$500mn_$1bn","","","−3.710***","−0.216***"
"$1bn_$3bn","","","−4.797***","−0.274***"
">$3bn","","","−3.512***","−0.242***"
"Constant","22.361***","2.241***","19.806***","2.035***"
"Fund sequence","−0.037","0.004","−0.052","0.003"
"F-stat","11.515***","13.717***","10.613***","12.508***"
"Adj. R-squared","0.1159","0.1414","0.1175","0.1420"
"Observations","2889","2782","2889","2782"